n.evals.q.1.0.	locomotion.flat._.grid.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power	locomotion.flat._.grid.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.min	locomotion.flat._.grid.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.max	locomotion.flat._.grammar.biped.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power	locomotion.flat._.grammar.biped.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.min	locomotion.flat._.grammar.biped.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.max	locomotion.flat._.grammar.worm.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power	locomotion.flat._.grammar.worm.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.min	locomotion.flat._.grammar.worm.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.max
1.310e+04	2.692e+00	2.262e+00	3.246e+00	1.912e+00	1.545e+00	2.153e+00	1.024e+00	9.291e-01	1.255e+00
1.320e+04	2.737e+00	2.265e+00	3.246e+00	1.912e+00	1.545e+00	2.153e+00	1.024e+00	9.291e-01	1.255e+00
1.330e+04	2.737e+00	2.265e+00	3.246e+00	1.912e+00	1.545e+00	2.153e+00	1.024e+00	9.291e-01	1.255e+00
1.340e+04	2.737e+00	2.265e+00	3.246e+00	1.912e+00	1.545e+00	2.153e+00	1.050e+00	9.291e-01	1.255e+00
1.350e+04	2.737e+00	2.265e+00	3.246e+00	1.912e+00	1.545e+00	2.153e+00	1.050e+00	9.291e-01	1.255e+00
1.360e+04	2.737e+00	2.265e+00	3.246e+00	1.912e+00	1.545e+00	2.153e+00	1.050e+00	9.291e-01	1.255e+00
1.370e+04	2.737e+00	2.265e+00	3.246e+00	1.912e+00	1.545e+00	2.153e+00	1.050e+00	9.291e-01	1.255e+00
1.380e+04	2.692e+00	2.262e+00	3.159e+00	1.912e+00	1.545e+00	2.153e+00	1.050e+00	9.291e-01	1.255e+00
1.390e+04	2.692e+00	2.262e+00	3.159e+00	1.912e+00	1.545e+00	2.153e+00	1.066e+00	9.291e-01	1.273e+00
1.400e+04	2.692e+00	2.262e+00	3.159e+00	1.912e+00	1.545e+00	2.153e+00	1.066e+00	9.291e-01	1.273e+00
1.410e+04	2.692e+00	2.262e+00	3.159e+00	1.912e+00	1.545e+00	2.153e+00	1.066e+00	9.291e-01	1.273e+00
1.420e+04	2.692e+00	2.262e+00	3.159e+00	1.912e+00	1.545e+00	2.153e+00	1.066e+00	9.291e-01	1.273e+00
1.430e+04	2.692e+00	2.262e+00	3.159e+00	1.912e+00	1.545e+00	2.153e+00	1.066e+00	9.291e-01	1.273e+00
1.440e+04	2.692e+00	2.262e+00	3.159e+00	1.912e+00	1.545e+00	2.153e+00	1.066e+00	9.291e-01	1.273e+00
1.450e+04	2.692e+00	2.262e+00	3.159e+00	1.912e+00	1.545e+00	2.153e+00	1.066e+00	9.291e-01	1.273e+00
1.460e+04	2.692e+00	2.262e+00	3.159e+00	1.912e+00	1.545e+00	2.153e+00	1.066e+00	9.291e-01	1.273e+00
1.470e+04	2.632e+00	2.181e+00	3.144e+00	1.912e+00	1.545e+00	2.153e+00	1.066e+00	9.291e-01	1.273e+00
1.480e+04	2.632e+00	2.181e+00	3.144e+00	1.912e+00	1.545e+00	2.153e+00	1.176e+00	9.318e-01	1.273e+00
